Λήμμα (Lemma),POS,Drill_Type,Front,Back
πρόβατο,Noun,Plural,πρόβατο (Plural),πρόβατα
πρόβατο,Noun,Genitive Singular,πρόβατο (Genitive Singular),πρόβατου
πρόβλεψη,Noun,Plural,πρόβλεψη (Plural),προβλέψεις
πρόβλεψη,Noun,Genitive Singular,πρόβλεψη (Genitive Singular),πρόβλεψης
πρόβλημα,Noun,Plural,πρόβλημα (Plural),προβλήματα
πρόβλημα,Noun,Genitive Singular,πρόβλημα (Genitive Singular),προβλήματος
πρόγνωση,Noun,Plural,πρόγνωση (Plural),προγνώσεις
πρόγνωση,Noun,Genitive Singular,πρόγνωση (Genitive Singular),πρόγνωσης
πρόγονος,Noun,Plural,πρόγονος (Plural),πρόγονοι
πρόγονος,Noun,Genitive Singular,πρόγονος (Genitive Singular),προγόνου
πρόγραμμα,Noun,Plural,πρόγραμμα (Plural),προγράμματα
πρόγραμμα,Noun,Genitive Singular,πρόγραμμα (Genitive Singular),προγράμματος
πρόδρομος,Noun,Plural,πρόδρομος (Plural),πρόδρομοι
πρόδρομος,Noun,Genitive Singular,πρόδρομος (Genitive Singular),προδρόμου
πρόεδρος,Noun,Plural,πρόεδρος (Plural),πρόεδροι
πρόεδρος,Noun,Genitive Singular,πρόεδρος (Genitive Singular),προέδρου
πρόθεση,Noun,Plural,πρόθεση (Plural),προθέσεις
πρόθεση,Noun,Genitive Singular,πρόθεση (Genitive Singular),πρόθεσης
πρόθυμος,Adjective,Feminine,πρόθυμος (Feminine),πρόθυμη
πρόθυμος,Adjective,Neuter,πρόθυμος (Neuter),πρόθυμο
πρόκληση,Noun,Plural,πρόκληση (Plural),προκλήσεις
πρόκληση,Noun,Genitive Singular,πρόκληση (Genitive Singular),πρόκλησης
πρόληψη,Noun,Plural,πρόληψη (Plural),προλήψεις
πρόληψη,Noun,Genitive Singular,πρόληψη (Genitive Singular),πρόληψης
πρόλογος,Noun,Plural,πρόλογος (Plural),πρόλογοι
πρόλογος,Noun,Genitive Singular,πρόλογος (Genitive Singular),προλόγου
πρόξενος,Noun,Plural,πρόξενος (Plural),πρόξενοι
πρόξενος,Noun,Genitive Singular,πρόξενος (Genitive Singular),προξένου
πρόοδος,Noun,Plural,πρόοδος (Plural),πρόοδοι
πρόοδος,Noun,Genitive Singular,πρόοδος (Genitive Singular),προόδου
πρόποση,Noun,Plural,πρόποση (Plural),προπόσεις
πρόποση,Noun,Genitive Singular,πρόποση (Genitive Singular),πρόποσης
πρόσβαση,Noun,Plural,πρόσβαση (Plural),προσβάσεις
πρόσβαση,Noun,Genitive Singular,πρόσβαση (Genitive Singular),πρόσβασης
πρόσκληση,Noun,Plural,πρόσκληση (Plural),προσκλήσεις
πρόσκληση,Noun,Genitive Singular,πρόσκληση (Genitive Singular),πρόσκλησης
πρόσληψη,Noun,Plural,πρόσληψη (Plural),προσλήψεις
πρόσληψη,Noun,Genitive Singular,πρόσληψη (Genitive Singular),πρόσληψης
πρόσοψη,Noun,Plural,πρόσοψη (Plural),προσόψεις
πρόσοψη,Noun,Genitive Singular,πρόσοψη (Genitive Singular),πρόσοψης
πρόστιμο,Noun,Plural,πρόστιμο (Plural),πρόστιμα
πρόστιμο,Noun,Genitive Singular,πρόστιμο (Genitive Singular),πρόστιμου
πρόσφατος,Adjective,Feminine,πρόσφατος (Feminine),πρόσφατη
πρόσφατος,Adjective,Neuter,πρόσφατος (Neuter),πρόσφατο
πρόσφυγας,Noun,Plural,πρόσφυγας (Plural),πρόσφυγες
πρόσφυγας,Noun,Genitive Singular,πρόσφυγας (Genitive Singular),πρόσφυγα
πρόσχημα,Noun,Plural,πρόσχημα (Plural),προσχήματα
πρόσχημα,Noun,Genitive Singular,πρόσχημα (Genitive Singular),προσχήματος
πρόσωπο,Noun,Plural,πρόσωπο (Plural),πρόσωπα
πρόσωπο,Noun,Genitive Singular,πρόσωπο (Genitive Singular),πρόσωπου
πρόταση,Noun,Plural,πρόταση (Plural),προτάσεις
πρόταση,Noun,Genitive Singular,πρόταση (Genitive Singular),πρότασης
πρότυπο,Noun,Plural,πρότυπο (Plural),πρότυπα
πρότυπο,Noun,Genitive Singular,πρότυπο (Genitive Singular),πρότυπου
πρόχειρος,Adjective,Feminine,πρόχειρος (Feminine),πρόχειρη
πρόχειρος,Adjective,Neuter,πρόχειρος (Neuter),πρόχειρο
πρόωρος,Adjective,Feminine,πρόωρος (Feminine),πρόωρη
πρόωρος,Adjective,Neuter,πρόωρος (Neuter),πρόωρο
πρύτανης,Noun,Plural,πρύτανης (Plural),πρυτάνεις
πρύτανης,Noun,Genitive Singular,πρύτανης (Genitive Singular),πρυτάνεως
πρώιμος,Adjective,Feminine,πρώιμος (Feminine),πρώιμη
πρώιμος,Adjective,Neuter,πρώιμος (Neuter),πρώιμο
πρώτος,Adjective,Feminine,πρώτος (Feminine),πρώτη
πρώτος,Adjective,Neuter,πρώτος (Neuter),πρώτο
πτέρυγα,Noun,Plural,πτέρυγα (Plural),πτέρυγες
πτέρυγα,Noun,Genitive Singular,πτέρυγα (Genitive Singular),πτέρυγας
πτήση,Noun,Plural,πτήση (Plural),πτήσεις
πτήση,Noun,Genitive Singular,πτήση (Genitive Singular),πτήσης
πτηνό,Noun,Plural,πτηνό (Plural),πτηνά
πτηνό,Noun,Genitive Singular,πτηνό (Genitive Singular),πτηνού
πτυχή,Noun,Plural,πτυχή (Plural),πτυχές
πτυχή,Noun,Genitive Singular,πτυχή (Genitive Singular),πτυχής
πτυχίο,Noun,Plural,πτυχίο (Plural),πτυχία
πτυχίο,Noun,Genitive Singular,πτυχίο (Genitive Singular),πτυχίου
πτώμα,Noun,Plural,πτώμα (Plural),πτώματα
πτώμα,Noun,Genitive Singular,πτώμα (Genitive Singular),πτώματος
πτώση,Noun,Plural,πτώση (Plural),πτώσεις
πτώση,Noun,Genitive Singular,πτώση (Genitive Singular),πτώσης
πυκνός,Adjective,Feminine,πυκνός (Feminine),πυκνή
πυκνός,Adjective,Neuter,πυκνός (Neuter),πυκνό
πυκνότητα,Noun,Plural,πυκνότητα (Plural),πυκνότητες
πυκνότητα,Noun,Genitive Singular,πυκνότητα (Genitive Singular),πυκνότητας
πυρήνας,Noun,Plural,πυρήνας (Plural),πυρήνες
πυρήνας,Noun,Genitive Singular,πυρήνας (Genitive Singular),πυρήνα
πυραμίδα,Noun,Plural,πυραμίδα (Plural),πυραμίδες
πυραμίδα,Noun,Genitive Singular,πυραμίδα (Genitive Singular),πυραμίδας
πυρετός,Noun,Plural,πυρετός (Plural),πυρετοί
πυρετός,Noun,Genitive Singular,πυρετός (Genitive Singular),πυρετού
πυρηνικός,Adjective,Feminine,πυρηνικός (Feminine),πυρηνική
πυρηνικός,Adjective,Neuter,πυρηνικός (Neuter),πυρηνικό
πυρκαγιά,Noun,Plural,πυρκαγιά (Plural),πυρκαγιές
πυρκαγιά,Noun,Genitive Singular,πυρκαγιά (Genitive Singular),πυρκαγιάς
πυροβολισμός,Noun,Plural,πυροβολισμός (Plural),πυροβολισμοί
πυροβολισμός,Noun,Genitive Singular,πυροβολισμός (Genitive Singular),πυροβολισμού
πυροσβέστης,Noun,Plural,πυροσβέστης (Plural),πυροσβέστες
πυροσβέστης,Noun,Genitive Singular,πυροσβέστης (Genitive Singular),πυροσβέστη
πυροσβεστήρας,Noun,Plural,πυροσβεστήρας (Plural),πυροσβεστήρες
πυροσβεστήρας,Noun,Genitive Singular,πυροσβεστήρας (Genitive Singular),πυροσβεστήρα
πυροσβεστικός,Adjective,Feminine,πυροσβεστικός (Feminine),πυροσβεστική
πυροσβεστικός,Adjective,Neuter,πυροσβεστικός (Neuter),πυροσβεστικό
πωλητής,Noun,Plural,πωλητής (Plural),πωλητές
πωλητής,Noun,Genitive Singular,πωλητής (Genitive Singular),πωλητή
πωλώ,Verb,Active Participle,πωλώ (Active Participle),έχοντας πωλήσει
πόδι,Noun,Plural,πόδι (Plural),πόδια
πόδι,Noun,Genitive Singular,πόδι (Genitive Singular),ποδιού
πόθος,Noun,Plural,πόθος (Plural),πόθοι
πόθος,Noun,Genitive Singular,πόθος (Genitive Singular),πόθου
πόλεμος,Noun,Plural,πόλεμος (Plural),πόλεμοι
πόλεμος,Noun,Genitive Singular,πόλεμος (Genitive Singular),πολέμου
πόλη,Noun,Plural,πόλη (Plural),πόλεις
πόλη,Noun,Genitive Singular,πόλη (Genitive Singular),πόλης
πόλος,Noun,Plural,πόλος (Plural),πόλοι
πόλος,Noun,Genitive Singular,πόλος (Genitive Singular),πόλου
πόνος,Noun,Plural,πόνος (Plural),πόνοι
πόνος,Noun,Genitive Singular,πόνος (Genitive Singular),πόνου
πόντος,Noun,Plural,πόντος (Plural),πόντοι
πόντος,Noun,Genitive Singular,πόντος (Genitive Singular),πόντου
πόρνη,Noun,Plural,πόρνη (Plural),πόρνες
πόρνη,Noun,Genitive Singular,πόρνη (Genitive Singular),πόρνης
πόρος,Noun,Plural,πόρος (Plural),πόροι
πόρος,Noun,Genitive Singular,πόρος (Genitive Singular),πόρου
πόρτα,Noun,Plural,πόρτα (Plural),πόρτες
πόρτα,Noun,Genitive Singular,πόρτα (Genitive Singular),πόρτας
πύλη,Noun,Plural,πύλη (Plural),πύλες
πύλη,Noun,Genitive Singular,πύλη (Genitive Singular),πύλης
πύραυλος,Noun,Plural,πύραυλος (Plural),πύραυλοι
πύραυλος,Noun,Genitive Singular,πύραυλος (Genitive Singular),πυραύλου
πύργος,Noun,Plural,πύργος (Plural),πύργοι
πύργος,Noun,Genitive Singular,πύργος (Genitive Singular),πύργου
πώληση,Noun,Plural,πώληση (Plural),πωλήσεις
πώληση,Noun,Genitive Singular,πώληση (Genitive Singular),πώλησης
ράβδος,Noun,Plural,ράβδος (Plural),ράβδοι
ράβδος,Noun,Genitive Singular,ράβδος (Genitive Singular),ράβδου
ράβω,Verb,Active Participle,ράβω (Active Participle),έχοντας ράψει
ράδιο,Noun,Plural,ράδιο (Plural),ράδια
ράδιο,Noun,Genitive Singular,ράδιο (Genitive Singular),ράδιου
ράτσα,Noun,Plural,ράτσα (Plural),ράτσες
ράτσα,Noun,Genitive Singular,ράτσα (Genitive Singular),ράτσας
ράφι,Noun,Plural,ράφι (Plural),ράφια
ράφι,Noun,Genitive Singular,ράφι (Genitive Singular),ραφιού
ρέστα,Noun,Plural,ρέστα (Plural),ρέστα
ρέω,Verb,Active Participle,ρέω (Active Participle),έχοντας ρεύσει
ρήμα,Noun,Plural,ρήμα (Plural),ρήματα
ρήμα,Noun,Genitive Singular,ρήμα (Genitive Singular),ρήματος
ρίζα,Noun,Plural,ρίζα (Plural),ρίζες
ρίζα,Noun,Genitive Singular,ρίζα (Genitive Singular),ρίζας
ρίσκο,Noun,Plural,ρίσκο (Plural),ρίσκα
ρίσκο,Noun,Genitive Singular,ρίσκο (Genitive Singular),ρίσκου
ρίχνω,Verb,Passive Participle,ρίχνω (Passive Participle),ριγμένος
ρίχνω,Verb,Active Participle,ρίχνω (Active Participle),έχοντας ρίξει
ραδιοφωνικός,Noun,Plural,ραδιοφωνικός (Plural),ραδιοφωνικά
ραδιοφωνικός,Noun,Genitive Singular,ραδιοφωνικός (Genitive Singular),ραδιοφωνικού
ραδιόφωνο,Noun,Plural,ραδιόφωνο (Plural),ραδιόφωνα
ραδιόφωνο,Noun,Genitive Singular,ραδιόφωνο (Genitive Singular),ραδιόφωνου
ρατσισμός,Noun,Plural,ρατσισμός (Plural),ρατσισμοί
ρατσισμός,Noun,Genitive Singular,ρατσισμός (Genitive Singular),ρατσισμού
ρατσιστής,Noun,Plural,ρατσιστής (Plural),ρατσιστές
ρατσιστής,Noun,Genitive Singular,ρατσιστής (Genitive Singular),ρατσιστή
ρατσιστικός,Adjective,Feminine,ρατσιστικός (Feminine),ρατσιστική
ρατσιστικός,Adjective,Neuter,ρατσιστικός (Neuter),ρατσιστικό
ρεύμα,Noun,Plural,ρεύμα (Plural),ρεύματα
ρεύμα,Noun,Genitive Singular,ρεύμα (Genitive Singular),ρεύματος
ρητορική,Noun,Plural,ρητορική (Plural),ρητορικές
ρητορική,Noun,Genitive Singular,ρητορική (Genitive Singular),ρητορικής
ρηχός,Adjective,Feminine,ρηχός (Feminine),ρηχιά
ρηχός,Adjective,Neuter,ρηχός (Neuter),ρηχό
ριζικός,Adjective,Feminine,ριζικός (Feminine),ριζική
ριζικός,Adjective,Neuter,ριζικός (Neuter),ριζικό
ριζοσπαστικός,Adjective,Feminine,ριζοσπαστικός (Feminine),ριζοσπαστική
ριζοσπαστικός,Adjective,Neuter,ριζοσπαστικός (Neuter),ριζοσπαστικό
ρινόκερος,Noun,Plural,ρινόκερος (Plural),ρινόκεροι
ρινόκερος,Noun,Genitive Singular,ρινόκερος (Genitive Singular),ρινόκερου
ρισκάρω,Verb,Active Participle,ρισκάρω (Active Participle),έχοντας ρισκάρει
ροή,Noun,Plural,ροή (Plural),ροές
ροή,Noun,Genitive Singular,ροή (Genitive Singular),ροής
ροδάκινο,Noun,Plural,ροδάκινο (Plural),ροδάκινα
ροδάκινο,Noun,Genitive Singular,ροδάκινο (Genitive Singular),ροδάκινου
ρολό,Noun,Plural,ρολό (Plural),ρολά
ρολό,Noun,Genitive Singular,ρολό (Genitive Singular),ρολού
ρολόι,Noun,Plural,ρολόι (Plural),ρολόια
ρολόι,Noun,Genitive Singular,ρολόι (Genitive Singular),ρολοϊού
ρομαντικός,Adjective,Feminine,ρομαντικός (Feminine),ρομαντική
ρομαντικός,Adjective,Neuter,ρομαντικός (Neuter),ρομαντικό
ροπή,Noun,Plural,ροπή (Plural),ροπές
ροπή,Noun,Genitive Singular,ροπή (Genitive Singular),ροπής
ρουτίνα,Noun,Plural,ρουτίνα (Plural),ρουτίνες
ρουτίνα,Noun,Genitive Singular,ρουτίνα (Genitive Singular),ρουτίνας
ρούχο,Noun,Plural,ρούχο (Plural),ρούχα
ρούχο,Noun,Genitive Singular,ρούχο (Genitive Singular),ρούχου
ρυθμίζω,Verb,Active Participle,ρυθμίζω (Active Participle),έχοντας ρυθμίσει
ρυθμός,Noun,Plural,ρυθμός (Plural),ρυθμοί
ρυθμός,Noun,Genitive Singular,ρυθμός (Genitive Singular),ρυθμού
ρωγμή,Noun,Plural,ρωγμή (Plural),ρωγμές
ρωγμή,Noun,Genitive Singular,ρωγμή (Genitive Singular),ρωγμής
ρωμαϊκός,Adjective,Feminine,ρωμαϊκός (Feminine),ρωμαϊκή
ρωμαϊκός,Adjective,Neuter,ρωμαϊκός (Neuter),ρωμαϊκό
ρωσικός,Adjective,Feminine,ρωσικός (Feminine),ρωσική
ρωσικός,Adjective,Neuter,ρωσικός (Neuter),ρωσικό
ρόλος,Noun,Plural,ρόλος (Plural),ρόλοι
ρόλος,Noun,Genitive Singular,ρόλος (Genitive Singular),ρόλου
ρύζι,Noun,Plural,ρύζι (Plural),ρύζια
ρύζι,Noun,Genitive Singular,ρύζι (Genitive Singular),ρυζιού
ρύθμιση,Noun,Plural,ρύθμιση (Plural),ρυθμίσεις
ρύθμιση,Noun,Genitive Singular,ρύθμιση (Genitive Singular),ρύθμισης
ρύπανση,Noun,Plural,ρύπανση (Plural),ρυπάνσεις
ρύπανση,Noun,Genitive Singular,ρύπανση (Genitive Singular),ρύπανσης
ρύπος,Noun,Plural,ρύπος (Plural),ρύποι
ρύπος,Noun,Genitive Singular,ρύπος (Genitive Singular),ρύπου
σάκος,Noun,Plural,σάκος (Plural),σάκοι
σάκος,Noun,Genitive Singular,σάκος (Genitive Singular),σάκου
σάλιο,Noun,Plural,σάλιο (Plural),σάλια
σάλιο,Noun,Genitive Singular,σάλιο (Genitive Singular),σάλιου
σάλτσα,Noun,Plural,σάλτσα (Plural),σάλτσες
σάλτσα,Noun,Genitive Singular,σάλτσα (Genitive Singular),σάλτσας
σάπιος,Adjective,Feminine,σάπιος (Feminine),σάπια
σάπιος,Adjective,Neuter,σάπιος (Neuter),σάπιο
σάρκα,Noun,Plural,σάρκα (Plural),σάρκες
σάρκα,Noun,Genitive Singular,σάρκα (Genitive Singular),σάρκας
σέρνω,Verb,Active Participle,σέρνω (Active Participle),έχοντας σύρει
σήμα,Noun,Plural,σήμα (Plural),σήματα
σήμα,Noun,Genitive Singular,σήμα (Genitive Singular),σήματος
σίγουρος,Adjective,Feminine,σίγουρος (Feminine),σίγουρη
σίγουρος,Adjective,Neuter,σίγουρος (Neuter),σίγουρο
σίδηρος,Noun,Plural,σίδηρος (Plural),σίδηροι
σίδηρος,Noun,Genitive Singular,σίδηρος (Genitive Singular),σιδήρου
σαγηνεύω,Verb,Active Participle,σαγηνεύω (Active Participle),σαγηνεύσει
σαγόνι,Noun,Plural,σαγόνι (Plural),σαγόνια
σαγόνι,Noun,Genitive Singular,σαγόνι (Genitive Singular),σαγονιού
σακάκι,Noun,Plural,σακάκι (Plural),σακάκια
σακάκι,Noun,Genitive Singular,σακάκι (Genitive Singular),σακακιού
σακούλα,Noun,Plural,σακούλα (Plural),σακούλες
σακούλα,Noun,Genitive Singular,σακούλα (Genitive Singular),σακούλας
σαλάτα,Noun,Plural,σαλάτα (Plural),σαλάτες
σαλάτα,Noun,Genitive Singular,σαλάτα (Genitive Singular),σαλάτας
σαλόνι,Noun,Plural,σαλόνι (Plural),σαλόνια
σαλόνι,Noun,Genitive Singular,σαλόνι (Genitive Singular),σαλονιού
σαπούνι,Noun,Plural,σαπούνι (Plural),σαπούνια
σαπούνι,Noun,Genitive Singular,σαπούνι (Genitive Singular),σαπουνιού
σαρώνω,Verb,Active Participle,σαρώνω (Active Participle),έχοντας σαρώσει
σαφής,Adjective,Feminine,σαφής (Feminine),σαφής
σαφής,Adjective,Neuter,σαφής (Neuter),σαφές
σβήνω,Verb,Passive Participle,σβήνω (Passive Participle),σβησμένος
σβήνω,Verb,Active Participle,σβήνω (Active Participle),έχοντας σβήσει
σεβασμός,Noun,Plural,σεβασμός (Plural),σεβασμοί
σεβασμός,Noun,Genitive Singular,σεβασμός (Genitive Singular),σεβασμού
σειρά,Noun,Plural,σειρά (Plural),σειρές
σειρά,Noun,Genitive Singular,σειρά (Genitive Singular),σειράς
σεισμικός,Adjective,Feminine,σεισμικός (Feminine),σεισμική
σεισμικός,Adjective,Neuter,σεισμικός (Neuter),σεισμικό
σεισμός,Noun,Plural,σεισμός (Plural),σεισμοί
σεισμός,Noun,Genitive Singular,σεισμός (Genitive Singular),σεισμού
σελίδα,Noun,Plural,σελίδα (Plural),σελίδες
σελίδα,Noun,Genitive Singular,σελίδα (Genitive Singular),σελίδας
σεμινάριο,Noun,Plural,σεμινάριο (Plural),σεμινάρια
σεμινάριο,Noun,Genitive Singular,σεμινάριο (Genitive Singular),σεμινάριου
σεμνός,Adjective,Feminine,σεμνός (Feminine),σεμνή
σεμνός,Adjective,Neuter,σεμνός (Neuter),σεμνό
σενάριο,Noun,Plural,σενάριο (Plural),σενάρια
σενάριο,Noun,Genitive Singular,σενάριο (Genitive Singular),σενάριου
σεξουαλικός,Adjective,Feminine,σεξουαλικός (Feminine),σεξουαλική
σεξουαλικός,Adjective,Neuter,σεξουαλικός (Neuter),σεξουαλικό
σεξουαλικότητα,Noun,Plural,σεξουαλικότητα (Plural),σεξουαλικότητες
σεξουαλικότητα,Noun,Genitive Singular,σεξουαλικότητα (Genitive Singular),σεξουαλικότητας
σερβίρω,Verb,Passive Participle,σερβίρω (Passive Participle),σερβιρισμένος
σερβίρω,Verb,Active Participle,σερβίρω (Active Participle),σερβιρίσει
σερβικός,Adjective,Feminine,σερβικός (Feminine),σερβική
σερβικός,Adjective,Neuter,σερβικός (Neuter),σερβικό
σερβιτόρα,Noun,Plural,σερβιτόρα (Plural),σερβιτόρες
σερβιτόρα,Noun,Genitive Singular,σερβιτόρα (Genitive Singular),σερβιτόρας
σερβιτόρος,Noun,Plural,σερβιτόρος (Plural),σερβιτόροι
σερβιτόρος,Noun,Genitive Singular,σερβιτόρος (Genitive Singular),σερβιτόρου
σηκώνω,Verb,Active Participle,σηκώνω (Active Participle),έχοντας σηκώσει
σημάδι,Noun,Plural,σημάδι (Plural),σημάδια
σημάδι,Noun,Genitive Singular,σημάδι (Genitive Singular),σημαδιού
σημαία,Noun,Plural,σημαία (Plural),σημαίες
σημαία,Noun,Genitive Singular,σημαία (Genitive Singular),σημαίας
σημαίνω,Verb,Passive Participle,σημαίνω (Passive Participle),σεσημασμένος
σημαίνω,Verb,Active Participle,σημαίνω (Active Participle),έχοντας σημάνει
σημαδεύω,Verb,Passive Participle,σημαδεύω (Passive Participle),σημαδεμένος
σημαδεύω,Verb,Active Participle,σημαδεύω (Active Participle),έχοντας σημαδέψει
σημαντικός,Adjective,Feminine,σημαντικός (Feminine),σημαντική
σημαντικός,Adjective,Neuter,σημαντικός (Neuter),σημαντικό
σημασία,Noun,Plural,σημασία (Plural),σημασίες
σημασία,Noun,Genitive Singular,σημασία (Genitive Singular),σημασίας
σηματοδοτώ,Verb,Passive Participle,σηματοδοτώ (Passive Participle),σηματοδοτημένος
σηματοδοτώ,Verb,Active Participle,σηματοδοτώ (Active Participle),έχοντας σηματοδοτήσει
σημείο,Noun,Plural,σημείο (Plural),σημεία
σημείο,Noun,Genitive Singular,σημείο (Genitive Singular),σημείου
σημείωμα,Noun,Plural,σημείωμα (Plural),σημειώματα
σημείωμα,Noun,Genitive Singular,σημείωμα (Genitive Singular),σημειώματος
σημείωση,Noun,Plural,σημείωση (Plural),σημειώσεις
σημείωση,Noun,Genitive Singular,σημείωση (Genitive Singular),σημείωσης
σημειωματάριο,Noun,Plural,σημειωματάριο (Plural),σημειωματάρια
σημειωματάριο,Noun,Genitive Singular,σημειωματάριο (Genitive Singular),σημειωματάριου
σημειώνω,Verb,Passive Participle,σημειώνω (Passive Participle),σημειωμένος
σημειώνω,Verb,Active Participle,σημειώνω (Active Participle),έχοντας σημειώσει
σημερινός,Adjective,Feminine,σημερινός (Feminine),σημερινή
σημερινός,Adjective,Neuter,σημερινός (Neuter),σημερινό
σιγανός,Adjective,Feminine,σιγανός (Feminine),σιγανή
σιγανός,Adjective,Neuter,σιγανός (Neuter),σιγανό
σιδερένιος,Adjective,Feminine,σιδερένιος (Feminine),σιδερένια
σιδερένιος,Adjective,Neuter,σιδερένιος (Neuter),σιδερένιο
σιδερώνω,Verb,Passive Participle,σιδερώνω (Passive Participle),σιδερωμένος
σιδηροδρομικός,Adjective,Feminine,σιδηροδρομικός (Feminine),σιδηροδρομική
σιδηροδρομικός,Adjective,Neuter,σιδηροδρομικός (Neuter),σιδηροδρομικό
σιδηροδρομικός,Noun,Plural,σιδηροδρομικός (Plural),σιδηροδρομικοί
σιδηροδρομικός,Noun,Genitive Singular,σιδηροδρομικός (Genitive Singular),σιδηροδρομικού
σιδηρόδρομος,Noun,Plural,σιδηρόδρομος (Plural),σιδηρόδρομοι
σιδηρόδρομος,Noun,Genitive Singular,σιδηρόδρομος (Genitive Singular),σιδηροδρόμου
σιρόπι,Noun,Plural,σιρόπι (Plural),σιρόπια
σιρόπι,Noun,Genitive Singular,σιρόπι (Genitive Singular),σιροπιού
σιτάρι,Noun,Plural,σιτάρι (Plural),σιτάρια
σιτάρι,Noun,Genitive Singular,σιτάρι (Genitive Singular),σιταριού
σιχαίνομαι,Verb,Passive Participle,σιχαίνομαι (Passive Participle),‑ο
σιωπή,Noun,Plural,σιωπή (Plural),σιωπές
σιωπή,Noun,Genitive Singular,σιωπή (Genitive Singular),σιωπής
σιωπηλός,Adjective,Feminine,σιωπηλός (Feminine),σιωπηλή
σιωπηλός,Adjective,Neuter,σιωπηλός (Neuter),σιωπηλό
σκάβω,Verb,Active Participle,σκάβω (Active Participle),έχοντας σκάψει
σκάκι,Noun,Plural,σκάκι (Plural),σκάκια
σκάκι,Noun,Genitive Singular,σκάκι (Genitive Singular),σκακιού
σκάλα,Noun,Plural,σκάλα (Plural),σκάλες
σκάλα,Noun,Genitive Singular,σκάλα (Genitive Singular),σκάλας
σκάνδαλο,Noun,Plural,σκάνδαλο (Plural),σκάνδαλα
σκάνδαλο,Noun,Genitive Singular,σκάνδαλο (Genitive Singular),σκάνδαλου
σκάφος,Noun,Plural,σκάφος (Plural),σκάφη
σκάφος,Noun,Genitive Singular,σκάφος (Genitive Singular),σκάφους
σκάω,Verb,Passive Participle,σκάω (Passive Participle),σκασμένος
σκάω,Verb,Active Participle,σκάω (Active Participle),έχοντας σκάσει
σκέψη,Noun,Plural,σκέψη (Plural),σκέψεις
σκέψη,Noun,Genitive Singular,σκέψη (Genitive Singular),σκέψης
σκαλί,Noun,Plural,σκαλί (Plural),σκαλιά
σκαλί,Noun,Genitive Singular,σκαλί (Genitive Singular),σκαλιού
σκαλίζω,Verb,Passive Participle,σκαλίζω (Passive Participle),σκαλισμένος
σκαλίζω,Verb,Active Participle,σκαλίζω (Active Participle),έχοντας σκαλίσει
σκανδιναβικός,Adjective,Feminine,σκανδιναβικός (Feminine),σκανδιναβική
σκανδιναβικός,Adjective,Neuter,σκανδιναβικός (Neuter),σκανδιναβικό
σκαρφαλώνω,Verb,Passive Participle,σκαρφαλώνω (Passive Participle),‑ο
σκαρφαλώνω,Verb,Active Participle,σκαρφαλώνω (Active Participle),έχοντας σκαρφαλώσει
σκελετός,Noun,Plural,σκελετός (Plural),σκελετοί
σκελετός,Noun,Genitive Singular,σκελετός (Genitive Singular),σκελετού
σκεπτικό,Noun,Plural,σκεπτικό (Plural),σκεπτικά
σκεπτικό,Noun,Genitive Singular,σκεπτικό (Genitive Singular),σκεπτικού
σκεπτικός,Adjective,Feminine,σκεπτικός (Feminine),σκεπτική
σκεπτικός,Adjective,Neuter,σκεπτικός (Neuter),σκεπτικό
σκεύος,Noun,Plural,σκεύος (Plural),σκεύη
σκεύος,Noun,Genitive Singular,σκεύος (Genitive Singular),σκεύους
σκηνή,Noun,Plural,σκηνή (Plural),σκηνές
σκηνή,Noun,Genitive Singular,σκηνή (Genitive Singular),σκηνής
σκηνικό,Noun,Plural,σκηνικό (Plural),σκηνικά
σκηνικό,Noun,Genitive Singular,σκηνικό (Genitive Singular),σκηνικού
σκηνοθέτης,Noun,Plural,σκηνοθέτης (Plural),σκηνοθέτες
σκηνοθέτης,Noun,Genitive Singular,σκηνοθέτης (Genitive Singular),σκηνοθέτη
σκιά,Noun,Plural,σκιά (Plural),σκιές
σκιά,Noun,Genitive Singular,σκιά (Genitive Singular),σκιάς
σκλάβος,Noun,Plural,σκλάβος (Plural),σκλάβοι
σκλάβος,Noun,Genitive Singular,σκλάβος (Genitive Singular),σκλάβου
σκλαβιά,Noun,Plural,σκλαβιά (Plural),σκλαβιές
σκλαβιά,Noun,Genitive Singular,σκλαβιά (Genitive Singular),σκλαβιάς
σκληρός,Adjective,Feminine,σκληρός (Feminine),σκληρή
σκληρός,Adjective,Neuter,σκληρός (Neuter),σκληρό
σκοπεύω,Verb,Active Participle,σκοπεύω (Active Participle),έχοντας σκοπεύσει
σκοπός,Noun,Plural,σκοπός (Plural),σκοποί
σκοπός,Noun,Genitive Singular,σκοπός (Genitive Singular),σκοπού
σκοράρω,Verb,Active Participle,σκοράρω (Active Participle),έχοντας σκοράρει
σκοτάδι,Noun,Plural,σκοτάδι (Plural),σκοτάδια
σκοτάδι,Noun,Genitive Singular,σκοτάδι (Genitive Singular),σκοταδιού
σκοτεινός,Adjective,Feminine,σκοτεινός (Feminine),σκοτεινή
σκοτεινός,Adjective,Neuter,σκοτεινός (Neuter),σκοτεινό
σκοτώνω,Verb,Passive Participle,σκοτώνω (Passive Participle),σκοτωμένος
σκοτώνω,Verb,Active Participle,σκοτώνω (Active Participle),έχοντας σκοτώσει
σκουλήκι,Noun,Plural,σκουλήκι (Plural),σκουλήκια
